#YY  MM DD hh mm WDIR WSPD GDR GST GTIME
#yr  mo dy hr mn degT m/s degT m/s hhmm
2016 01 04 05 20 141  4.5 999 99.0 9999
2016 01 04 05 30 140  4.5 999 99.0 9999
2016 01 04 05 40 137  4.6 999 99.0 9999
2016 01 04 05 50 136  4.7 125  6.3 0544
2016 01 04 06 00 136  4.9 999 99.0 9999
2016 01 04 06 10 137  5.4 999 99.0 9999
2016 01 04 06 20 141  5.4 999 99.0 9999
2016 01 04 06 30 140  5.6 999 99.0 9999
2016 01 04 06 40 139  5.5 999 99.0 9999
2016 01 04 06 50 135  5.7 140  7.1 0621
2016 01 04 07 00 131  5.7 999 99.0 9999
2016 01 04 07 10 128  5.6 999 99.0 9999
2016 01 04 07 20 133  5.9 999 99.0 9999
2016 01 04 07 30 136  6.0 999 99.0 9999
2016 01 04 07 40 135  6.1 999 99.0 9999
2016 01 04 07 50 139  6.1 141  8.0 0732
2016 01 04 08 00 137  6.4 999 99.0 9999
2016 01 04 08 10 136  6.5 999 99.0 9999
2016 01 04 08 20 135  6.4 999 99.0 9999
2016 01 04 08 30 133  6.5 999 99.0 9999
2016 01 04 08 40 134  6.9 999 99.0 9999
2016 01 04 08 50 133  6.8 121  8.8 0845
2016 01 04 09 00 135  6.7 999 99.0 9999
2016 01 04 09 10 134  7.6 999 99.0 9999
2016 01 04 09 20 140  7.7 999 99.0 9999
2016 01 04 09 30 143  7.0 999 99.0 9999
2016 01 04 09 40 142  7.0 999 99.0 9999
2016 01 04 09 50 143  6.5 134 10.0 0911
2016 01 04 10 00 142  6.3 999 99.0 9999
2016 01 04 10 10 146  6.5 999 99.0 9999
2016 01 04 10 20 147  6.2 999 99.0 9999
2016 01 04 10 30 140  6.2 999 99.0 9999
2016 01 04 10 40 138  6.5 999 99.0 9999
2016 01 04 10 50 143  6.7 121  8.9 1032
2016 01 04 11 00 150  6.2 999 99.0 9999
2016 01 04 11 10 146  6.3 999 99.0 9999
2016 01 04 11 20 144  6.5 999 99.0 9999
2016 01 04 11 30 139  6.4 999 99.0 9999
2016 01 04 11 40 140  6.4 999 99.0 9999
2016 01 04 11 50 139  6.5 138  8.3 1145
2016 01 04 12 00 136  6.8 999 99.0 9999
2016 01 04 12 10 142  7.1 999 99.0 9999
2016 01 04 12 20 146  7.3 999 99.0 9999
2016 01 04 12 30 141  7.4 999 99.0 9999
2016 01 04 12 40 140  7.3 999 99.0 9999
2016 01 04 12 50 139  7.2 123  9.5 1224
2016 01 04 13 00 138  7.3 999 99.0 9999
2016 01 04 13 10 133  7.4 999 99.0 9999
2016 01 04 13 20 127  7.7 999 99.0 9999
2016 01 04 13 30 128  7.0 999 99.0 9999
2016 01 04 13 40 127  6.9 999 99.0 9999
2016 01 04 13 50 126  6.8 127  9.6 1317
2016 01 04 14 00 128  7.0 999 99.0 9999
2016 01 04 14 10 125  7.2 999 99.0 9999
2016 01 04 14 20 124  7.0 999 99.0 9999
2016 01 04 14 30 123  6.7 999 99.0 9999
2016 01 04 14 40 124  6.5 999 99.0 9999
2016 01 04 14 50 125  7.3 112  9.6 1407
2016 01 04 15 00 123  7.1 999 99.0 9999
