#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2019 04 01 17 00 140  2.0   MM    MM    MM    MM  MM 1015.3  10.0  11.0    MM   MM -0.8    MM
2019 04 01 16 50 150  2.0   MM    MM    MM    MM  MM 1015.3   9.9  11.0    MM   MM   MM    MM
2019 04 01 16 40 140  2.0   MM    MM    MM    MM  MM 1015.3  10.0  11.0    MM   MM   MM    MM
2019 04 01 16 30 150  2.0   MM    MM    MM    MM  MM 1015.3   9.9  11.0    MM   MM   MM    MM
2019 04 01 16 20 150  2.0   MM   2.1    MM    MM 288 1015.3   9.9  11.0    MM   MM   MM    MM
2019 04 01 16 10 140  2.0   MM   2.1    18    MM  MM 1015.4   9.9  11.0    MM   MM   MM    MM
2019 04 01 16 00 140  2.0   MM    MM    MM    MM  MM 1015.3  10.0  11.0    MM   MM   MM    MM
2019 04 01 15 50 150  3.0   MM    MM    MM    MM  MM 1015.4  10.0  11.0    MM   MM   MM    MM
2019 04 01 15 40 160  3.0   MM    MM    MM    MM  MM 1015.5  10.0  11.0    MM   MM   MM    MM
2019 04 01 15 30 160  3.0   MM    MM    MM    MM  MM 1015.7  10.1  11.0    MM   MM   MM    MM
2019 04 01 15 20 160  3.0   MM   2.7    MM    MM 288 1015.7  10.1  11.0    MM   MM   MM    MM
2019 04 01 15 10 160  3.0   MM   2.7    18    MM  MM 1015.7  10.1  11.0    MM   MM   MM    MM
2019 04 01 15 00 160  3.0   MM    MM    MM    MM  MM 1015.8  10.1  11.0    MM   MM -0.9    MM
2019 04 01 14 50 170  3.0   MM    MM    MM    MM  MM 1015.8  10.1  11.0    MM   MM   MM    MM
2019 04 01 14 40 180  3.0   MM    MM    MM    MM  MM 1015.7  10.0  11.0    MM   MM   MM    MM
2019 04 01 14 30 180  4.0   MM    MM    MM    MM  MM 1015.9  10.0  11.1    MM   MM   MM    MM
2019 04 01 14 20 190  4.0   MM   2.5    MM    MM 294 1015.9  10.1  11.1    MM   MM   MM    MM
2019 04 01 14 10 190  4.0   MM   2.5    18    MM  MM 1015.9  10.2  11.1    MM   MM   MM    MM
2019 04 01 14 00 190  4.0   MM    MM    MM    MM  MM 1016.0  10.2  11.1    MM   MM   MM    MM
2019 04 01 13 50 190  4.0   MM    MM    MM    MM  MM 1016.2  10.4  11.0    MM   MM   MM    MM
2019 04 01 13 40 190  4.0   MM    MM    MM    MM  MM 1016.2  10.4  11.0    MM   MM   MM    MM
2019 04 01 13 30 190  4.0   MM    MM    MM    MM  MM 1016.3  10.4  11.0    MM   MM   MM    MM
2019 04 01 13 20 190  4.0   MM   2.0    MM    MM 297 1016.3  10.4  11.0    MM   MM   MM    MM
2019 04 01 13 10 190  4.0   MM   2.0    18    MM  MM 1016.4  10.4  11.0    MM   MM   MM    MM
2019 04 01 13 00 190  4.0   MM    MM    MM    MM  MM 1016.4  10.4  11.0    MM   MM -1.1    MM
2019 04 01 12 50 190  4.0   MM    MM    MM    MM  MM 1016.5  10.4  11.0    MM   MM   MM    MM
2019 04 01 12 40 190  4.0   MM    MM    MM    MM  MM 1016.5  10.4  11.0    MM   MM   MM    MM
2019 04 01 12 30 200  4.0   MM    MM    MM    MM  MM 1016.6  10.4  11.0    MM   MM   MM    MM
2019 04 01 12 20 190  4.0   MM   2.1    MM    MM 292 1016.6  10.4  11.0    MM   MM   MM    MM
2019 04 01 12 10 190  4.0   MM   2.1    18    MM  MM 1016.6  10.4  11.0    MM   MM   MM    MM
2019 04 01 12 00 190  4.0   MM    MM    MM    MM  MM 1016.6  10.4  11.0    MM   MM   MM    MM
2019 04 01 11 50 200  4.0   MM    MM    MM    MM  MM 1016.6  10.4  11.0    MM   MM   MM    MM
2019 04 01 11 40 200  4.0   MM    MM    MM    MM  MM 1016.8  10.4  11.0    MM   MM   MM    MM
2019 04 01 11 30 200  4.0   MM    MM    MM    MM  MM 1016.8  10.4  11.0    MM   MM   MM    MM
2019 04 01 11 20 200  4.0   MM   1.6    MM    MM 293 1016.9  10.4  11.0    MM   MM   MM    MM
2019 04 01 11 10 200  3.0   MM   1.6    18    MM  MM 1017.0  10.3  11.0    MM   MM   MM    MM
2019 04 01 11 00 210  3.0   MM    MM    MM    MM  MM 1017.1  10.3  11.0    MM   MM -0.9    MM
2019 04 01 10 50 200  3.0   MM    MM    MM    MM  MM 1017.1  10.3  11.0    MM   MM   MM    MM
2019 04 01 10 40 200  3.0   MM    MM    MM    MM  MM 1017.2  10.3  11.0    MM   MM   MM    MM
2019 04 01 10 30 200  4.0   MM    MM    MM    MM  MM 1017.3  10.3  11.0    MM   MM   MM    MM
2019 04 01 10 20 200  3.0   MM   2.3    MM    MM 293 1017.4  10.3  11.0    MM   MM   MM    MM
2019 04 01 10 10 200  3.0   MM   2.3    18    MM  MM 1017.4  10.3  11.0    MM   MM   MM    MM
2019 04 01 10 00 200  4.0   MM    MM    MM    MM  MM 1017.5  10.3  11.0    MM   MM   MM    MM
2019 04 01 09 50 190  4.0   MM    MM    MM    MM  MM 1017.4  10.3  11.0    MM   MM   MM    MM
2019 04 01 09 40 190  4.0   MM    MM    MM    MM  MM 1017.5  10.3  11.0    MM   MM   MM    MM
2019 04 01 09 30 190  3.0   MM    MM    MM    MM  MM 1017.6  10.3  11.0    MM   MM   MM    MM
2019 04 01 09 20 200  3.0   MM   2.0    MM    MM 290 1017.6  10.2  11.0    MM   MM   MM    MM
2019 04 01 09 10 210  3.0   MM   2.0    20    MM  MM 1017.8  10.2  11.0    MM   MM   MM    MM
2019 04 01 09 00 210  3.0   MM    MM    MM    MM  MM 1017.7  10.2  11.0    MM   MM -0.6    MM
2019 04 01 08 50 210  3.0   MM    MM    MM    MM  MM 1017.8  10.2  11.0    MM   MM   MM    MM
2019 04 01 08 40 210  3.0   MM    MM    MM    MM  MM 1017.8  10.1  11.0    MM   MM   MM    MM
2019 04 01 08 30 210  3.0   MM    MM    MM    MM  MM 1017.9  10.1  11.0    MM   MM   MM    MM
2019 04 01 08 20 210  4.0   MM   1.8    MM    MM 295 1017.9  10.1  11.0    MM   MM   MM    MM
2019 04 01 08 10 210  4.0   MM   1.8    20    MM  MM 1017.9  10.0  11.0    MM   MM   MM    MM
2019 04 01 08 00 210  4.0   MM    MM    MM    MM  MM 1018.0  10.0  11.0    MM   MM   MM    MM
2019 04 01 07 50 210  5.0   MM    MM    MM    MM  MM 1018.0  10.0  11.0    MM   MM   MM    MM
2019 04 01 07 40 200  4.0   MM    MM    MM    MM  MM 1018.1   9.9  11.0    MM   MM   MM    MM
2019 04 01 07 30 200  4.0   MM    MM    MM    MM  MM 1018.0   9.9  11.0    MM   MM   MM    MM
2019 04 01 07 20 200  5.0   MM   1.8    MM    MM 298 1018.0   9.9  11.0    MM   MM   MM    MM
2019 04 01 07 10 210  4.0   MM   1.8    20    MM  MM 1018.2   9.9  11.0    MM   MM   MM    MM
2019 04 01 07 00 210  4.0   MM    MM    MM    MM  MM 1018.1  10.0  11.0    MM   MM -0.6    MM
2019 04 01 06 50 200  4.0   MM    MM    MM    MM  MM 1018.1  10.0  11.0    MM   MM   MM    MM
2019 04 01 06 40 210  3.0   MM    MM    MM    MM  MM 1018.1  10.0  11.0    MM   MM   MM    MM
2019 04 01 06 30 200  3.0   MM    MM    MM    MM  MM 1018.2  10.1  10.9    MM   MM   MM    MM
2019 04 01 06 20 200  3.0   MM   1.9    MM    MM 291 1018.2  10.1  10.9    MM   MM   MM    MM
2019 04 01 06 10 210  2.0   MM   1.9    20    MM  MM 1018.3  10.1  10.9    MM   MM   MM    MM
2019 04 01 06 00 210  2.0   MM    MM    MM    MM  MM 1018.3  10.1  10.9    MM   MM   MM    MM
2019 04 01 05 50 200  1.0   MM    MM    MM    MM  MM 1018.3  10.1  10.9    MM   MM   MM    MM
2019 04 01 05 40 200  1.0   MM    MM    MM    MM  MM 1018.4  10.1  11.0    MM   MM   MM    MM
2019 04 01 05 30 210  1.0   MM    MM    MM    MM  MM 1018.3  10.1  11.0    MM   MM   MM    MM
2019 04 01 05 20 190  1.0   MM   1.2    MM    MM 288 1018.4  10.1  11.0    MM   MM   MM    MM
2019 04 01 05 10  MM  0.0   MM   1.2    20    MM  MM 1018.4  10.1  11.0    MM   MM   MM    MM
2019 04 01 05 00 290  1.0   MM    MM    MM    MM  MM 1018.6  10.1  11.0    MM   MM -0.5    MM
2019 04 01 04 50  MM  0.0   MM    MM    MM    MM  MM 1018.5  10.1  11.0    MM   MM   MM    MM
2019 04 01 04 40 120  1.0   MM    MM    MM    MM  MM 1018.6  10.1  11.0    MM   MM   MM    MM
2019 04 01 04 30  10  1.0   MM    MM    MM    MM  MM 1018.6  10.1  11.0    MM   MM   MM    MM
2019 04 01 04 20 340  1.0   MM   1.5    MM    MM 292 1018.6  10.1  11.0    MM   MM   MM    MM
2019 04 01 04 10  10  1.0   MM   1.5    20    MM  MM 1018.7  10.1  11.0    MM   MM   MM    MM
2019 04 01 04 00 320  1.0   MM    MM    MM    MM  MM 1018.8  10.1  11.0    MM   MM   MM    MM
2019 04 01 03 50 330  1.0   MM    MM    MM    MM  MM 1018.9  10.1  11.0    MM   MM   MM    MM
2019 04 01 03 40 350  2.0   MM    MM    MM    MM  MM 1018.7  10.1  11.0    MM   MM   MM    MM
2019 04 01 03 30 340  2.0   MM    MM    MM    MM  MM 1018.7  10.1  11.0    MM   MM   MM    MM
2019 04 01 03 20  10  2.0   MM   1.4    MM    MM 287 1018.6  10.1  11.0    MM   MM   MM    MM
2019 04 01 03 10  10  3.0   MM   1.4    20    MM  MM 1018.5  10.1  11.0    MM   MM   MM    MM
2019 04 01 03 00 360  2.0   MM    MM    MM    MM  MM 1018.5  10.0  11.0    MM   MM -1.5    MM
2019 04 01 02 50 350  3.0   MM    MM    MM    MM  MM 1018.5  10.0  11.0    MM   MM   MM    MM
2019 04 01 02 40  10  3.0   MM    MM    MM    MM  MM 1018.6  10.0  11.0    MM   MM   MM    MM
2019 04 01 02 30 350  2.0   MM    MM    MM    MM  MM 1018.7   9.9  11.0    MM   MM   MM    MM
2019 04 01 02 20 360  2.0   MM   1.3    MM    MM 293 1018.8   9.8  11.0    MM   MM   MM    MM
2019 04 01 02 10 350  2.0   MM   1.3    20    MM  MM 1019.0   9.7  11.0    MM   MM   MM    MM
2019 04 01 02 00 360  3.0   MM    MM    MM    MM  MM 1019.0   9.7  11.0    MM   MM   MM    MM
2019 04 01 01 50 350  2.0   MM    MM    MM    MM  MM 1019.1   9.7  11.0    MM   MM   MM    MM
2019 04 01 01 40 340  2.0   MM    MM    MM    MM  MM 1019.2   9.7  11.0    MM   MM   MM    MM
2019 04 01 01 30 330  2.0   MM    MM    MM    MM  MM 1019.3   9.7  11.0    MM   MM   MM    MM
2019 04 01 01 20 340  2.0   MM   1.2    MM    MM 292 1019.3   9.7  11.0    MM   MM   MM    MM
2019 04 01 01 10 350  2.0   MM   1.2    20    MM  MM 1019.3   9.8  11.0    MM   MM   MM    MM
2019 04 01 01 00 350  3.0   MM    MM    MM    MM  MM 1019.3   9.7  10.9    MM   MM -1.7    MM
2019 04 01 00 50 350  2.0   MM    MM    MM    MM  MM 1019.4   9.8  10.9    MM   MM   MM    MM
2019 04 01 00 40 360  3.0   MM    MM    MM    MM  MM 1019.5   9.7  11.0    MM   MM   MM    MM
2019 04 01 00 30  10  3.0   MM    MM    MM    MM  MM 1019.7   9.7  11.0    MM   MM   MM    MM
2019 04 01 00 20 360  3.0   MM   1.3    MM    MM 289 1019.8   9.7  11.0    MM   MM   MM    MM
2019 04 01 00 10 360  2.0   MM   1.3    20    MM  MM 1019.8   9.8  11.1    MM   MM   MM    MM
2019 04 01 00 00 360  2.0   MM    MM    MM    MM  MM 1020.0   9.6  11.1    MM   MM   MM    MM
2019 03 31 23 50  10  2.0   MM    MM    MM    MM  MM 1020.2   9.4  11.1    MM   MM   MM    MM
2019 03 31 23 40  10  3.0   MM    MM    MM    MM  MM 1020.1   9.4  11.1    MM   MM   MM    MM
2019 03 31 21 50 290  3.0   MM    MM    MM    MM  MM 1021.1   9.5  11.1    MM   MM   MM    MM
2019 03 31 21 40 290  4.0   MM    MM    MM    MM  MM 1021.2   9.5  11.1    MM   MM   MM    MM
2019 03 31 21 30 290  4.0   MM    MM    MM    MM  MM 1021.3   9.5  11.1    MM   MM   MM    MM
2019 03 31 21 20 280  4.0   MM   1.2    MM    MM 289 1021.4   9.7  11.1    MM   MM   MM    MM
2019 03 31 21 10 270  4.0   MM   1.2    22    MM  MM 1021.5   9.8  11.1    MM   MM   MM    MM
2019 03 31 21 00 270  4.0   MM    MM    MM    MM  MM 1021.5   9.7  11.1    MM   MM -1.6    MM
