#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2019 08 01 18 00 186  2.5 99.0 99.00 99.00 99.00 999 1016.8  14.9  14.4 999.0 99.0 99.00
2019 08 01 18 10 188  2.6 99.0  0.76  7.40 99.00 284 1016.8  14.9  14.4 999.0 99.0 99.00
2019 08 01 18 20 184  2.4 99.0 99.00 99.00 99.00 999 1016.8  15.0  14.6 999.0 99.0 99.00
2019 08 01 18 30 191  2.5 99.0 99.00 99.00 99.00 999 1016.8  15.1  14.7 999.0 99.0 99.00
2019 08 01 18 40 198  2.7 99.0 99.00 99.00 99.00 999 1016.9  15.3  14.7 999.0 99.0 99.00
2019 08 01 18 50 200  2.6 99.0 99.00 99.00 99.00 999 1016.9  15.4  14.6 999.0 99.0 99.00
2019 08 01 19 00 192  2.6 99.0 99.00 99.00 99.00 999 1016.9  15.5  14.7 999.0 99.0 99.00
2019 08 01 19 10 186  2.7 99.0  0.76  7.70 99.00 283 1016.9  15.5  14.8 999.0 99.0 99.00
2019 08 01 19 20 191  2.9 99.0 99.00 99.00 99.00 999 1016.9  15.5  14.8 999.0 99.0 99.00
2019 08 01 19 30 194  3.2 99.0 99.00 99.00 99.00 999 1016.8  15.5  14.6 999.0 99.0 99.00
2019 08 01 19 40 193  3.1 99.0 99.00 99.00 99.00 999 1016.7  15.5  14.7 999.0 99.0 99.00
2019 08 01 19 50 195  3.0 99.0 99.00 99.00 99.00 999 1016.7  15.5  14.7 999.0 99.0 99.00
2019 08 01 20 00 197  3.1 99.0 99.00 99.00 99.00 999 1016.6  15.6  14.8 999.0 99.0 99.00
2019 08 01 20 10 199  3.2 99.0  0.73  6.90 99.00 280 1016.6  15.7  14.4 999.0 99.0 99.00
2019 08 01 20 20 194  3.2 99.0 99.00 99.00 99.00 999 1016.6  15.8  14.3 999.0 99.0 99.00
2019 08 01 20 30 198  3.3 99.0 99.00 99.00 99.00 999 1016.6  15.8  14.3 999.0 99.0 99.00
2019 08 01 20 40 198  3.5 99.0 99.00 99.00 99.00 999 1016.6  15.9  14.6 999.0 99.0 99.00
2019 08 01 20 50 193  3.5 99.0 99.00 99.00 99.00 999 1016.7  16.0  14.7 999.0 99.0 99.00
2019 08 01 21 00 195  3.4 99.0 99.00 99.00 99.00 999 1016.6  16.0  14.8 999.0 99.0 99.00
2019 08 01 21 10 194  3.5 99.0  0.76  6.50 99.00 282 1016.5  15.9  14.8 999.0 99.0 99.00
2019 08 01 21 20 195  3.5 99.0 99.00 99.00 99.00 999 1016.6  16.0  14.7 999.0 99.0 99.00
2019 08 01 21 30 193  3.4 99.0 99.00 99.00 99.00 999 1016.6  16.1  14.5 999.0 99.0 99.00
2019 08 01 21 40 190  3.2 99.0 99.00 99.00 99.00 999 1016.6  16.2  14.1 999.0 99.0 99.00
2019 08 01 21 50 183  3.5 99.0 99.00 99.00 99.00 999 1016.5  16.2  14.0 999.0 99.0 99.00
2019 08 01 22 00 184  3.7 99.0 99.00 99.00 99.00 999 1016.5  16.2  14.4 999.0 99.0 99.00
2019 08 01 22 10 177  3.7 99.0  0.71  7.10 99.00 282 1016.5  16.2  14.4 999.0 99.0 99.00
2019 08 01 22 20 174  3.6 99.0 99.00 99.00 99.00 999 1016.5  16.1  14.3 999.0 99.0 99.00
2019 08 01 22 30 173  3.6 99.0 99.00 99.00 99.00 999 1016.5  16.1  14.8 999.0 99.0 99.00
2019 08 01 22 40 173  4.2 99.0 99.00 99.00 99.00 999 1016.4  16.1  14.6 999.0 99.0 99.00
2019 08 01 22 50 171  4.5 99.0 99.00 99.00 99.00 999 1016.5  16.0  14.6 999.0 99.0 99.00
2019 08 01 23 00 177  4.7 99.0 99.00 99.00 99.00 999 1016.4  16.0  14.7 999.0 99.0 99.00
2019 08 01 23 10 177  4.9 99.0  0.67  6.90 99.00 283 1016.3  16.0  14.7 999.0 99.0 99.00
2019 08 01 23 20 177  5.0 99.0 99.00 99.00 99.00 999 1016.2  16.0  14.6 999.0 99.0 99.00
2019 08 01 23 30 176  4.8 99.0 99.00 99.00 99.00 999 1016.3  16.0  14.4 999.0 99.0 99.00
2019 08 01 23 40 177  4.9 99.0 99.00 99.00 99.00 999 1016.2  15.9  14.6 999.0 99.0 99.00
2019 08 01 23 50 175  5.0 99.0 99.00 99.00 99.00 999 1016.2  15.9  14.7 999.0 99.0 99.00
2019 08 02 00 00 176  5.1 99.0 99.00 99.00 99.00 999 1016.2  15.9  14.6 999.0 99.0 99.00
2019 08 02 00 10 173  5.2 99.0  0.61  7.40 99.00 286 1016.1  15.9  14.7 999.0 99.0 99.00
2019 08 02 00 20 174  4.9 99.0 99.00 99.00 99.00 999 1016.1  15.8  14.8 999.0 99.0 99.00
2019 08 02 00 30 174  4.8 99.0 99.00 99.00 99.00 999 1016.1  15.7  14.6 999.0 99.0 99.00
2019 08 02 00 40 172  5.5 99.0 99.00 99.00 99.00 999 1016.0  15.7  14.5 999.0 99.0 99.00
2019 08 02 00 50 172  5.5 99.0 99.00 99.00 99.00 999 1015.9  15.8  14.6 999.0 99.0 99.00
2019 08 02 01 00 171  5.4 99.0 99.00 99.00 99.00 999 1015.9  15.9  15.1 999.0 99.0 99.00
2019 08 02 01 10 173  5.4 99.0  0.59  7.70 99.00 263 1015.8  16.0  15.3 999.0 99.0 99.00
2019 08 02 01 20 169  5.5 99.0 99.00 99.00 99.00 999 1015.8  16.0  15.3 999.0 99.0 99.00
2019 08 02 01 30 168  5.6 99.0 99.00 99.00 99.00 999 1015.7  16.0  15.0 999.0 99.0 99.00
2019 08 02 01 40 171  5.5 99.0 99.00 99.00 99.00 999 1015.8  16.0  15.0 999.0 99.0 99.00
2019 08 02 01 50 173  5.5 99.0 99.00 99.00 99.00 999 1015.8  16.0  14.8 999.0 99.0 99.00
2019 08 02 02 00 174  5.6 99.0 99.00 99.00 99.00 999 1015.8  15.9  14.8 999.0 99.0 99.00
2019 08 02 02 10 172  5.5 99.0  0.61  6.90 99.00 258 1015.9  15.8  14.8 999.0 99.0 99.00
2019 08 02 02 20 170  5.5 99.0 99.00 99.00 99.00 999 1015.9  15.9  14.7 999.0 99.0 99.00
2019 08 02 02 30 171  5.6 99.0 99.00 99.00 99.00 999 1016.0  15.8  14.7 999.0 99.0 99.00
2019 08 02 02 40 165  5.5 99.0 99.00 99.00 99.00 999 1016.0  15.7  14.7 999.0 99.0 99.00
2019 08 02 02 50 171  5.7 99.0 99.00 99.00 99.00 999 1015.9  15.6  14.6 999.0 99.0 99.00
2019 08 02 03 00 170  5.4 99.0 99.00 99.00 99.00 999 1015.9  15.5  14.4 999.0 99.0 99.00
2019 08 02 03 10 170  5.6 99.0  0.73  6.90 99.00 251 1015.9  15.5  14.4 999.0 99.0 99.00
2019 08 02 03 20 172  5.4 99.0 99.00 99.00 99.00 999 1015.8  15.4  14.4 999.0 99.0 99.00
2019 08 02 03 30 175  5.1 99.0 99.00 99.00 99.00 999 1015.8  15.4  14.3 999.0 99.0 99.00
2019 08 02 03 40 174  5.1 99.0 99.00 99.00 99.00 999 1015.8  15.4  14.0 999.0 99.0 99.00
2019 08 02 03 50 171  5.2 99.0 99.00 99.00 99.00 999 1015.7  15.4  13.9 999.0 99.0 99.00
2019 08 02 04 00 167  5.2 99.0 99.00 99.00 99.00 999 1015.7  15.4  13.9 999.0 99.0 99.00
2019 08 02 04 10 167  5.5 99.0  0.74  6.10 99.00 251 1015.7  15.4  13.9 999.0 99.0 99.00
2019 08 02 04 20 169  5.6 99.0 99.00 99.00 99.00 999 1015.7  15.5  13.9 999.0 99.0 99.00
2019 08 02 04 30 170  5.8 99.0 99.00 99.00 99.00 999 1015.8  15.5  13.8 999.0 99.0 99.00
2019 08 02 04 40 163  5.8 99.0 99.00 99.00 99.00 999 1015.8  15.5  13.8 999.0 99.0 99.00
2019 08 02 04 50 166  6.2 99.0 99.00 99.00 99.00 999 1015.9  15.5  13.8 999.0 99.0 99.00
2019 08 02 05 00 164  6.2 99.0 99.00 99.00 99.00 999 1015.9  15.4  13.8 999.0 99.0 99.00
2019 08 02 05 10 161  5.7 99.0  0.91  5.70 99.00 246 1015.8  15.4  13.9 999.0 99.0 99.00
2019 08 02 05 20 165  6.1 99.0 99.00 99.00 99.00 999 1015.9  15.3  13.9 999.0 99.0 99.00
2019 08 02 05 30 169  6.4 99.0 99.00 99.00 99.00 999 1015.9  15.3  13.8 999.0 99.0 99.00
2019 08 02 05 40 166  5.9 99.0 99.00 99.00 99.00 999 1015.9  15.2  13.8 999.0 99.0 99.00
2019 08 02 05 50 167  6.1 99.0 99.00 99.00 99.00 999 1015.9  15.2  13.8 999.0 99.0 99.00
2019 08 02 06 00 170  6.6 99.0 99.00 99.00 99.00 999 1015.9  15.2  13.8 999.0 99.0 99.00
2019 08 02 06 10 164  6.5 99.0  1.08  6.50 99.00 245 1015.9  15.3  13.8 999.0 99.0 99.00
2019 08 02 06 20 166  6.3 99.0 99.00 99.00 99.00 999 1015.9  15.3  13.7 999.0 99.0 99.00
2019 08 02 06 30 164  7.0 99.0 99.00 99.00 99.00 999 1015.9  15.3  13.7 999.0 99.0 99.00
2019 08 02 06 40 168  6.8 99.0 99.00 99.00 99.00 999 1016.0  15.5  13.7 999.0 99.0 99.00
2019 08 02 06 50 172  6.3 99.0 99.00 99.00 99.00 999 1016.1  15.6  13.7 999.0 99.0 99.00
2019 08 02 07 00 174  6.9 99.0 99.00 99.00 99.00 999 1016.1  15.6  13.7 999.0 99.0 99.00
2019 08 02 07 10 178  7.0 99.0  1.21  6.10 99.00 240 1016.1  15.7  13.8 999.0 99.0 99.00
2019 08 02 07 20 177  6.8 99.0 99.00 99.00 99.00 999 1016.1  15.7  13.8 999.0 99.0 99.00
2019 08 02 07 30 176  6.6 99.0 99.00 99.00 99.00 999 1016.2  15.7  13.8 999.0 99.0 99.00
2019 08 02 07 40 177  6.8 99.0 99.00 99.00 99.00 999 1016.2  15.7  13.8 999.0 99.0 99.00
2019 08 02 07 50 179  6.5 99.0 99.00 99.00 99.00 999 1016.2  15.7  13.8 999.0 99.0 99.00
2019 08 02 08 00 177  6.6 99.0 99.00 99.00 99.00 999 1016.2  15.7  13.8 999.0 99.0 99.00
2019 08 02 08 10 183  6.2 99.0  1.32  7.40 99.00 242 1016.3  15.6  13.8 999.0 99.0 99.00
2019 08 02 08 20 177  6.7 99.0 99.00 99.00 99.00 999 1016.2  15.6  13.8 999.0 99.0 99.00
2019 08 02 08 30 170  7.5 99.0 99.00 99.00 99.00 999 1016.1  15.6  13.8 999.0 99.0 99.00
2019 08 02 08 40 175  7.5 99.0 99.00 99.00 99.00 999 1016.0  15.6  13.7 999.0 99.0 99.00
2019 08 02 08 50 174  7.0 99.0 99.00 99.00 99.00 999 1016.1  15.6  13.7 999.0 99.0 99.00
2019 08 02 09 00 176  7.4 99.0 99.00 99.00 99.00 999 1016.1  15.6  13.7 999.0 99.0 99.00
2019 08 02 09 10 175  6.8 99.0  1.30  6.90 99.00 239 1016.1  15.5  13.7 999.0 99.0 99.00
2019 08 02 09 20 174  6.9 99.0 99.00 99.00 99.00 999 1016.2  15.4  13.7 999.0 99.0 99.00
2019 08 02 09 30 174  6.5 99.0 99.00 99.00 99.00 999 1016.3  15.4  13.8 999.0 99.0 99.00
2019 08 02 09 40 170  6.9 99.0 99.00 99.00 99.00 999 1016.2  15.4  13.9 999.0 99.0 99.00
2019 08 02 09 50 176  6.9 99.0 99.00 99.00 99.00 999 1016.2  15.4  13.9 999.0 99.0 99.00
2019 08 02 10 00 175  7.6 99.0 99.00 99.00 99.00 999 1016.2  15.5  13.9 999.0 99.0 99.00
2019 08 02 10 10 177  7.1 99.0  1.30  7.70 99.00 236 1016.3  15.5  13.8 999.0 99.0 99.00
2019 08 02 10 20 175  7.1 99.0 99.00 99.00 99.00 999 1016.3  15.5  13.9 999.0 99.0 99.00
2019 08 02 10 30 174  6.2 99.0 99.00 99.00 99.00 999 1016.4  15.3  13.9 999.0 99.0 99.00
2019 08 02 10 40 172  6.9 99.0 99.00 99.00 99.00 999 1016.4  15.2  13.9 999.0 99.0 99.00
2019 08 02 10 50 171  6.9 99.0 99.00 99.00 99.00 999 1016.4  15.1  13.9 999.0 99.0 99.00
2019 08 02 11 00 171  6.8 99.0 99.00 99.00 99.00 999 1016.5  15.0  13.9 999.0 99.0 99.00
2019 08 02 11 10 168  6.5 99.0  1.35  7.40 99.00 239 1016.5  14.8  13.9 999.0 99.0 99.00
2019 08 02 11 20 164  6.5 99.0 99.00 99.00 99.00 999 1016.6  14.7  13.9 999.0 99.0 99.00
2019 08 02 11 30 169  6.5 99.0 99.00 99.00 99.00 999 1016.7  14.6  14.1 999.0 99.0 99.00
2019 08 02 11 40 166  6.8 99.0 99.00 99.00 99.00 999 1016.7  14.6  14.1 999.0 99.0 99.00
2019 08 02 11 50 170  6.8 99.0 99.00 99.00 99.00 999 1016.8  14.7  14.1 999.0 99.0 99.00
2019 08 02 12 00 169  6.7 99.0 99.00 99.00 99.00 999 1016.9  14.8  14.1 999.0 99.0 99.00
2019 08 02 12 10 171  6.9 99.0  1.49  7.70 99.00 241 1016.9  14.8  14.1 999.0 99.0 99.00
2019 08 02 12 20 171  6.8 99.0 99.00 99.00 99.00 999 1017.0  14.7  14.0 999.0 99.0 99.00
2019 08 02 12 30 170  6.9 99.0 99.00 99.00 99.00 999 1017.0  14.7  14.0 999.0 99.0 99.00
2019 08 02 12 40 171  7.0 99.0 99.00 99.00 99.00 999 1017.0  14.8  13.9 999.0 99.0 99.00
2019 08 02 12 50 171  6.9 99.0 99.00 99.00 99.00 999 1017.2  14.8  13.9 999.0 99.0 99.00
2019 08 02 13 00 169  6.9 99.0 99.00 99.00 99.00 999 1017.2  14.8  13.9 999.0 99.0 99.00
2019 08 02 13 10 174  6.8 99.0  1.61  7.40 99.00 243 1017.3  14.8  13.8 999.0 99.0 99.00
2019 08 02 13 20 169  6.9 99.0 99.00 99.00 99.00 999 1017.4  14.8  13.8 999.0 99.0 99.00
