Time_UTC,MODAQ_Va_V,MODAQ_Vb_V,MODAQ_Vc_V,MODAQ_Ia_I,MODAQ_Ib_I,MODAQ_Ic_I
2020-02-24 18:15:21.603478551,6886.548645019531,4234.7647705078125,-11315.94107055664,-14.1064453125,-11.2408447265625,25.2593994140625
2020-02-24 18:15:21.603498552,6819.9093017578125,4321.8447265625,-11325.045166015625,-13.873138427734375,-11.51885986328125,25.1654052734375
2020-02-24 18:15:21.603518552,6751.6964111328125,4411.920623779297,-11334.870147705078,-13.6358642578125,-11.717071533203125,25.2197265625
2020-02-24 18:15:21.603538552,6687.095703125,4499.779602050781,-11344.454833984375,-13.35540771484375,-11.899871826171875,25.19287109375
2020-02-24 18:15:21.603558553,6620.2935791015625,4592.3243408203125,-11354.372833251953,-13.19366455078125,-12.105255126953125,25.115509033203125
2020-02-24 18:15:21.603578554,6553.297668457031,4683.097869873047,-11362.891693115234,-12.9803466796875,-12.203521728515625,25.058746337890625
2020-02-24 18:15:21.603598554,6486.545928955078,4773.127258300781,-11369.751739501953,-12.7484130859375,-12.368621826171875,25.00732421875
2020-02-24 18:15:21.603618554,6415.9029541015625,4866.1680908203125,-11374.096435546875,-12.586212158203125,-12.48260498046875,24.932708740234375
2020-02-24 18:15:21.603638555,6346.930419921875,4954.170471191406,-11375.650604248047,-12.4853515625,-12.612762451171875,24.946746826171875
2020-02-24 18:15:21.603658556,6279.9267578125,5038.789337158203,-11376.204833984375,-12.433319091796875,-12.58941650390625,24.862518310546875
2020-02-24 18:15:21.603678556,6216.232971191406,5119.7340087890625,-11376.468383789062,-12.2991943359375,-12.759552001953125,24.844207763671875
2020-02-24 18:15:21.603698556,6159.034912109375,5191.539703369141,-11375.270782470703,-12.192535400390625,-12.785797119140625,24.786834716796875
2020-02-24 18:15:21.603718557,6102.197296142578,5258.822418212891,-11372.507385253906,-12.0526123046875,-12.89764404296875,24.790802001953125
2020-02-24 18:15:21.603738558,6046.615417480469,5321.504638671875,-11368.1123046875,-11.97601318359375,-12.990875244140625,24.76318359375
2020-02-24 18:15:21.603758558,5990.994781494141,5378.140716552734,-11361.628204345703,-11.834259033203125,-13.004150390625,24.743499755859375
2020-02-24 18:15:21.603778558,5932.002258300781,5432.912567138672,-11353.86898803711,-11.781005859375,-13.153533935546875,24.73968505859375
2020-02-24 18:15:21.603798559,5871.947784423828,5483.661407470703,-11345.811340332031,-11.715087890625,-13.150787353515625,24.71282958984375
2020-02-24 18:15:21.603818560,5808.792724609375,5533.576965332031,-11337.556030273438,-11.601409912109375,-13.319854736328125,24.75341796875
2020-02-24 18:15:21.603838560,5740.126373291016,5584.318054199219,-11329.998352050781,-11.4471435546875,-13.343505859375,24.6783447265625
2020-02-24 18:15:21.603858560,5668.902038574219,5634.94287109375,-11324.669219970703,-11.35955810546875,-13.450164794921875,24.734344482421875
2020-02-24 18:15:21.603878561,5590.488220214844,5691.0789794921875,-11320.65396118164,-11.3250732421875,-13.5540771484375,24.786224365234375
2020-02-24 18:15:21.603898562,5507.497161865234,5748.784759521484,-11317.836303710938,-11.27471923828125,-13.564300537109375,24.730224609375
2020-02-24 18:15:21.603918562,5424.382080078125,5807.052520751953,-11316.673583984375,-11.185150146484375,-13.65020751953125,24.75616455078125
2020-02-24 18:15:21.603938562,5340.441467285156,5868.447998046875,-11317.805297851562,-11.149749755859375,-13.740081787109375,24.69940185546875
2020-02-24 18:15:21.603958563,5260.895935058594,5927.378509521484,-11320.54931640625,-11.1370849609375,-13.871307373046875,24.78515625
2020-02-24 18:15:21.603978564,5182.885192871094,5989.087921142578,-11325.223449707031,-11.0369873046875,-13.901214599609375,24.7418212890625
2020-02-24 18:15:21.603998564,5106.610778808594,6053.281677246094,-11330.114624023438,-10.921630859375,-13.97491455078125,24.76806640625
2020-02-24 18:15:21.604018564,5032.770324707031,6116.2003173828125,-11333.191955566406,-10.853729248046875,-14.117431640625,24.7796630859375
2020-02-24 18:15:21.604038565,4959.166290283203,6182.417205810547,-11334.11050415039,-10.7293701171875,-14.14794921875,24.76898193359375
2020-02-24 18:15:21.604058566,4889.3604736328125,6247.440368652344,-11332.409057617188,-10.640716552734375,-14.25811767578125,24.78302001953125
2020-02-24 18:15:21.604078566,4822.5428466796875,6310.029571533203,-11327.397735595703,-10.494232177734375,-14.3658447265625,24.7930908203125
2020-02-24 18:15:21.604098566,4756.194183349609,6374.091552734375,-11318.81298828125,-10.3387451171875,-14.552764892578125,24.782562255859375
2020-02-24 18:15:21.604118567,4692.074066162109,6435.642059326172,-11306.623809814453,-10.19195556640625,-14.683074951171875,24.791259765625
2020-02-24 18:15:21.604138568,4625.725402832031,6498.1614990234375,-11290.806945800781,-10.0494384765625,-14.84649658203125,24.79644775390625
2020-02-24 18:15:21.604158568,4557.919464111328,6561.386322021484,-11272.850677490234,-9.78271484375,-15.105133056640625,24.782562255859375
