Time_UTC,MODAQ_Va_V,MODAQ_Vb_V,MODAQ_Vc_V,MODAQ_Ia_I,MODAQ_Ib_I,MODAQ_Ic_I
15:21.5,9075.159241,1526.945557,-10597.06635,-19.58496094,-3.823699951,23.15170288
15:21.5,8999.6716,1591.379608,-10641.88144,-19.38034058,-4.1456604,23.33496094
15:21.5,8926.924103,1656.139221,-10685.13074,-19.19067383,-4.436340332,23.41827393
15:21.5,8853.812286,1727.929413,-10732.82938,-19.10339355,-4.629058838,23.5760498
15:21.5,8786.715607,1796.502747,-10777.93127,-18.99703979,-4.94140625,23.71841431
15:21.5,8726.478973,1870.056396,-10826.60272,-18.79684448,-5.200195313,23.79669189
15:21.5,8668.904968,1946.45871,-10872.02243,-18.70697021,-5.513000488,23.90579224
15:21.5,8617.067047,2024.787262,-10917.01193,-18.47473145,-5.71395874,23.98391724
15:21.5,8566.465485,2105.200958,-10956.64905,-18.31604004,-5.975646973,24.02694702
15:21.5,8516.360016,2186.242523,-10987.64716,-18.08898926,-6.238098145,24.13787842
15:21.5,8465.568542,2266.966278,-11011.44415,-17.97424316,-6.405944824,24.19235229
15:21.5,8413.80426,2348.325653,-11027.13699,-17.75497437,-6.640167236,24.20440674
15:21.5,8362.912018,2426.549561,-11036.99686,-17.6020813,-6.937255859,24.27932739
15:21.5,8310.236938,2503.88205,-11041.27567,-17.35275269,-7.145690918,24.38156128
15:21.5,8260.317505,2581.218414,-11046.55829,-17.24090576,-7.504425049,24.503479
15:21.5,8210.12677,2656.128571,-11050.38751,-17.02651978,-7.731628418,24.53842163
15:21.5,8157.319916,2733.771118,-11058.20874,-16.8196106,-8.000183105,24.58709717
15:21.5,8103.110046,2813.684845,-11068.74686,-16.74179077,-8.202362061,24.64691162
15:21.5,8042.447083,2898.03241,-11082.02899,-16.46896362,-8.492126465,24.76715088
15:21.5,7977.482056,2983.124115,-11097.47766,-16.30737305,-8.789367676,24.84588623
15:21.5,7911.431824,3070.533508,-11116.51913,-16.17553711,-8.91204834,24.88464355
15:21.5,7841.443848,3159.252899,-11137.16129,-16.00738525,-9.049530029,24.93896484
15:21.5,7771.808563,3246.670044,-11160.02811,-15.80200195,-9.255828857,24.95391846
15:21.5,7702.44458,3335.664612,-11184.64676,-15.69946289,-9.412994385,24.92904663
15:21.5,7631.181488,3424.577789,-11209.66074,-15.59921265,-9.602813721,24.98153687
15:21.5,7562.418243,3510.766327,-11234.11661,-15.40176392,-9.693756104,24.97756958
15:21.5,7491.841156,3600.245361,-11256.86328,-15.31646729,-9.886474609,25.0592041
15:21.5,7421.411346,3687.530731,-11277.85812,-15.2243042,-10.03189087,25.03952026
15:21.5,7350.729614,3772.517792,-11293.12463,-15.10116577,-10.11184692,25.02593994
15:21.5,7277.819336,3859.764404,-11305.07739,-14.99130249,-10.31982422,25.06378174
15:21.5,7210.412598,3940.422272,-11314.38303,-14.81781006,-10.43029785,25.06561279
15:21.5,7146.125824,4018.998871,-11321.40198,-14.69787598,-10.55084229,25.08300781
15:21.5,7085.207062,4094.075684,-11326.73111,-14.54376221,-10.69885254,25.09414673
15:21.5,7031.06308,4161.943634,-11329.91696,-14.35211182,-10.88256836,25.03753662
15:21.5,6975.070374,4229.075195,-11330.79288,-14.15863037,-11.01196289,25.04150391
15:21.5,6919.744293,4294.152618,-11330.3743,-13.93005371,-11.23519897,24.99435425
15:21.5,6863.840729,4356.873596,-11329.0798,-13.70361328,-11.43295288,24.95986938
15:21.5,6803.921906,4420.152679,-11326.72336,-13.46557617,-11.65893555,24.92294312
15:21.5,6743.355835,4481.827209,-11325.26221,-13.19381714,-11.92276001,24.97238159
15:21.5,6678.022614,4547.241821,-11325.11493,-12.96432495,-12.14172363,24.94338989
15:21.5,6605.887482,4616.245361,-11326.6691,-12.73193359,-12.30407715,24.90951538
15:21.5,6532.124542,4687.473572,-11329.95959,-12.60269165,-12.4508667,24.86953735
15:21.5,6453.024719,4764.046417,-11335.73056,-12.45574951,-12.60925293,24.88845825
15:21.5,6373.188507,4840.937073,-11342.98593,-12.38510132,-12.73849487,24.92401123
15:21.5,6293.298035,4918.09903,-11350.41959,-12.23190308,-12.77389526,24.95697021
15:21.5,6211.17514,4998.237549,-11356.56262,-12.15332031,-12.90908813,24.91104126
15:21.5,6129.633606,5075.143707,-11359.5043,-12.08496094,-13.03817749,24.90097046
15:21.5,6046.448761,5153.073059,-11358.53149,-12.01889038,-13.06732178,24.89105225
15:21.5,5963.120514,5231.258209,-11353.91162,-11.92062378,-13.12713623,24.90570068
15:21.5,5884.865601,5303.156921,-11344.7804,-11.89819336,-13.13446045,24.95529175
15:21.5,5809.141541,5372.811584,-11333.18033,-11.82769775,-13.26416016,24.88571167
15:21.5,5741.095306,5436.679779,-11319.99121,-11.84753418,-13.26370239,24.98428345
15:21.5,5678.556488,5495.028931,-11305.42233,-11.76986694,-13.31054688,25.02258301
15:21.5,5617.164886,5551.913055,-11290.2876,-11.75979614,-13.46969604,25.01144409
15:21.5,5560.362152,5604.080414,-11274.92807,-11.69326782,-13.45825195,25.01296997
15:21.5,5502.919922,5654.980408,-11258.94843,-11.63360596,-13.49380493,25.0579834
15:21.5,5442.315094,5704.04718,-11242.6781,-11.63085938,-13.62670898,25.12008667
15:21.5,5380.679321,5750.9823,-11225.28769,-11.51245117,-13.72970581,25.10131836
15:21.5,5312.478058,5801.064514,-11208.70343,-11.50665283,-13.83148193,25.15777588
15:21.5,5239.858459,5851.704834,-11193.89426,-11.39846802,-13.94699097,25.13946533
15:21.5,5162.774017,5906.740234,-11182.01126,-11.25534058,-14.00817871,25.17044067
15:21.5,5078.763641,5968.124084,-11172.95367,-11.20666504,-14.10797119,25.21133423
15:21.5,4993.819214,6030.128052,-11166.16339,-11.12716675,-14.20303345,25.22323608
15:21.5,4908.715881,6095.158966,-11162.85352,-10.97808838,-14.31762695,25.20294189
15:21.5,4825.112457,6163.212952,-11162.58997,-10.89752197,-14.47006226,25.30227661
15:21.5,4744.113525,6230.03833,-11163.33023,-10.79971313,-14.67758179,25.32806396
15:21.5,4664.15329,6301.355682,-11165.56653,-10.59524536,-14.77966309,25.28320313
15:21.5,4586.526245,6373.804749,-11166.91916,-10.45623779,-14.93103027,25.22140503
15:21.5,4510.236328,6446.916565,-11166.39206,-10.19042969,-15.07858276,25.24734497
15:21.5,4435.58197,6522.237549,-11164.57434,-9.990539551,-15.30487061,25.1802063
15:21.5,4364.547546,6597.04306,-11159.47,-9.749145508,-15.41854858,25.14816284
15:21.5,4292.400787,6674.046112,-11152.31152,-9.529876709,-15.60806274,25.03814697
15:21.5,4220.990417,6751.913452,-11143.09891,-9.238739014,-15.79345703,24.92843628
15:21.5,4151.614807,6831.823303,-11132.34375,-8.979949951,-15.95458984,24.87457275
15:21.5,4079.960266,6912.84549,-11119.70111,-8.739471436,-16.10122681,24.77249146
15:21.5,4008.968475,6993.142914,-11105.12061,-8.502807617,-16.22497559,24.6887207
15:21.5,3936.15509,7075.374329,-11087.73019,-8.271789551,-16.38671875,24.57366943
15:21.5,3862.221619,7155.722137,-11067.67715,-7.983856201,-16.64321899,24.50531006
15:21.5,3791.760803,7230.124573,-11046.01181,-7.843780518,-16.70639038,24.46899414
15:21.5,3722.044128,7303.383667,-11024.6449,-7.571563721,-16.90612793,24.35516357
15:21.5,3652.470856,7376.309448,-11004.9213,-7.268371582,-17.04864502,24.26879883
15:21.5,3582.641785,7447.239227,-10986.97278,-7.06817627,-17.15866089,24.17953491
15:21.5,3511.161652,7518.967407,-10970.89236,-6.815032959,-17.33032227,24.12017822
15:21.5,3438.309509,7588.718964,-10955.95142,-6.558685303,-17.44735718,23.97705078
15:21.5,3363.949707,7655.606354,-10940.69653,-6.333007813,-17.66738892,23.92349243
15:21.5,3288.446564,7719.4823,-10925.24011,-6.144104004,-17.77069092,23.85162354
15:21.5,3212.238037,7776.800507,-10907.50864,-5.904083252,-17.97332764,23.77197266
15:21.5,3134.134277,7829.545349,-10888.22299,-5.656585693,-18.15002441,23.73687744
15:21.5,3058.111786,7877.99588,-10870.35974,-5.456695557,-18.32778931,23.70040894
15:21.5,2980.422729,7925.055023,-10853.4848,-5.242462158,-18.52111816,23.68011475
15:21.5,2899.268768,7972.683899,-10838.69501,-5.075531006,-18.63235474,23.59344482
15:21.5,2816.204071,8020.274017,-10825.38962,-4.864044189,-18.83651733,23.5067749
15:21.5,2729.51944,8071.255402,-10813.09192,-4.60067749,-19.04220581,23.51730347
15:21.5,2640.284576,8123.054565,-10802.50342,-4.443206787,-19.16687012,23.37173462
15:21.5,2550.871429,8175.733521,-10793.72101,-4.203948975,-19.33624268,23.38500977
15:21.5,2460.245178,8231.036346,-10784.57428,-3.946075439,-19.42138672,23.32977295
15:21.5,2369.66156,8286.532959,-10775.55933,-3.742218018,-19.50485229,23.17184448
15:21.5,2279.194214,8344.975128,-10766.59476,-3.601531982,-19.57138062,23.0758667
15:21.5,2188.385803,8406.723297,-10757.11859,-3.391113281,-19.72061157,23.01757813
15:21.5,2097.158813,8470.696136,-10746.21616,-3.198394775,-19.79568481,22.85049438
15:21.5,2005.19931,8537.754059,-10732.17438,-3.003540039,-19.90371704,22.81341553
15:21.5,1914.030457,8607.629639,-10715.97769,-2.913970947,-19.96765137,22.76580811
15:21.5,1821.055511,8680.493408,-10697.31992,-2.763977051,-19.98840332,22.59613037
15:21.5,1729.398315,8755.701996,-10677.55368,-2.507781982,-20.04241943,22.53555298
15:21.5,1640.818451,8830.616028,-10655.79144,-2.395477295,-20.11764526,22.43896484
15:21.5,1553.959412,8903.072845,-10629.57599,-2.252960205,-20.1449585,22.3677063
15:21.5,1468.557648,8971.157837,-10598.13605,-2.096557617,-20.18569946,22.19818115
15:21.5,1385.772003,9035.494995,-10563.18857,-1.923980713,-20.25314331,22.16842651
15:21.5,1303.695618,9096.812958,-10525.91565,-1.726837158,-20.29541016,21.98135376
15:21.5,1222.661804,9152.375458,-10486.39868,-1.542053223,-20.40588379,21.86599731
15:21.5,1142.720947,9203.15918,-10444.61829,-1.327362061,-20.43960571,21.73934937
15:21.5,1063.117279,9247.943268,-10401.55115,-1.202545166,-20.546875,21.70761108
15:21.5,984.3585205,9287.088165,-10359.72424,-1.069946289,-20.71243286,21.63085938
15:21.5,905.9795837,9322.667389,-10320.51733,-0.863342285,-20.79040527,21.49871826
15:21.5,827.6355286,9354.273987,-10284.77921,-0.717468262,-20.83236694,21.51382446
15:21.5,747.1869507,9380.21814,-10249.90149,-0.591125488,-20.94070435,21.41281128
