,Tanana
2010-06-01 00:00:00+00:00,968.4360604765352
2010-06-02 00:00:00+00:00,1010.9113262869097
2010-06-03 00:00:00+00:00,999.5845887374763
2010-06-04 00:00:00+00:00,1036.396485773134
2010-06-05 00:00:00+00:00,1124.178701781241
2010-06-06 00:00:00+00:00,1197.8024958525564
2010-06-07 00:00:00+00:00,1231.7827085008564
2010-06-08 00:00:00+00:00,1192.1391270778402
2010-06-09 00:00:00+00:00,1231.7827085008564
2010-06-10 00:00:00+00:00,1347.881768382546
2010-06-11 00:00:00+00:00,1325.2282932836795
2010-06-12 00:00:00+00:00,1237.4460772755724
2010-06-13 00:00:00+00:00,1245.9411304376476
2010-06-14 00:00:00+00:00,1444.1590375527276
2010-06-15 00:00:00+00:00,1551.7630442723428
2010-06-16 00:00:00+00:00,1480.9709345883857
2010-06-17 00:00:00+00:00,1330.8916620583964
2010-06-18 00:00:00+00:00,1211.960917789348
2010-06-19 00:00:00+00:00,1129.8420705559574
2010-06-20 00:00:00+00:00,1087.3668047455833
2010-06-21 00:00:00+00:00,1081.7034359708666
2010-06-22 00:00:00+00:00,1093.0301735203
2010-06-23 00:00:00+00:00,1169.4856519789735
2010-06-24 00:00:00+00:00,1214.7926021767066
2010-06-25 00:00:00+00:00,1209.1292334019895
2010-06-26 00:00:00+00:00,1234.6143928882145
2010-06-27 00:00:00+00:00,1305.4065025721716
2010-06-28 00:00:00+00:00,1350.7134527699045
2010-06-29 00:00:00+00:00,1404.5154561297115
2010-06-30 00:00:00+00:00,1466.8125126515945
2010-07-01 00:00:00+00:00,1557.4264130470597
2010-07-02 00:00:00+00:00,1585.7432569206424
2010-07-03 00:00:00+00:00,1673.5254729287494
2010-07-04 00:00:00+00:00,1744.3175826127067
2010-07-05 00:00:00+00:00,1815.1096922966642
2010-07-06 00:00:00+00:00,1888.7334863679794
2010-07-07 00:00:00+00:00,1883.0701175932627
2010-07-08 00:00:00+00:00,1815.1096922966642
2010-07-09 00:00:00+00:00,1758.476004549498
2010-07-10 00:00:00+00:00,1727.3274762885571
2010-07-11 00:00:00+00:00,1730.1591606759152
2010-07-12 00:00:00+00:00,1710.3373699644073
2010-07-13 00:00:00+00:00,1718.832423126482
2010-07-14 00:00:00+00:00,1812.2780079093054
2010-07-15 00:00:00+00:00,1857.584958107038
2010-07-16 00:00:00+00:00,1868.9116956564712
2010-07-17 00:00:00+00:00,1857.584958107038
2010-07-18 00:00:00+00:00,1829.2681142334552
2010-07-19 00:00:00+00:00,1783.9611640357227
2010-07-20 00:00:00+00:00,1809.4463235219475
2010-07-21 00:00:00+00:00,1832.0997986208133
2010-07-22 00:00:00+00:00,1863.2483268817548
2010-07-23 00:00:00+00:00,1900.0602239174125
2010-07-24 00:00:00+00:00,1999.1691774749527
2010-07-25 00:00:00+00:00,2033.1493901232525
2010-07-26 00:00:00+00:00,2004.8325462496691
2010-07-27 00:00:00+00:00,1970.8523336013695
2010-07-28 00:00:00+00:00,1985.0107555381608
2010-07-29 00:00:00+00:00,1951.0305428898614
2010-07-30 00:00:00+00:00,1880.2384332059048
2010-07-31 00:00:00+00:00,1817.9413766840219
2010-08-01 00:00:00+00:00,1806.614639134589
2010-08-02 00:00:00+00:00,1820.7730610713807
2010-08-03 00:00:00+00:00,1809.4463235219475
2010-08-04 00:00:00+00:00,1806.614639134589
2010-08-05 00:00:00+00:00,1846.258220557605
2010-08-06 00:00:00+00:00,1925.545383403637
2010-08-07 00:00:00+00:00,1945.3671741151447
2010-08-08 00:00:00+00:00,1908.5552770794877
2010-08-09 00:00:00+00:00,1840.5948517828888
2010-08-10 00:00:00+00:00,1789.6245328104392
2010-08-11 00:00:00+00:00,1806.614639134589
2010-08-12 00:00:00+00:00,1761.3076889368565
2010-08-13 00:00:00+00:00,1710.3373699644073
2010-08-14 00:00:00+00:00,1633.8818915057334
2010-08-15 00:00:00+00:00,1594.2383100827174
2010-08-16 00:00:00+00:00,1639.5452602804498
2010-08-17 00:00:00+00:00,1707.5056855770486
2010-08-18 00:00:00+00:00,1752.8126357747815
2010-08-19 00:00:00+00:00,1724.4957919011983
2010-08-20 00:00:00+00:00,1597.0699944700755
2010-08-21 00:00:00+00:00,1503.624409687252
2010-08-22 00:00:00+00:00,1458.3174594895193
2010-08-23 00:00:00+00:00,1435.663984390653
2010-08-24 00:00:00+00:00,1387.5253498055622
2010-08-25 00:00:00+00:00,1333.7233464457545
