,WaveHeight,LinearResponse
57.0,0.014183527900647912,0.023250338951725808
58.0,-0.00038089420401983873,-0.0015428457064571835
59.0,-0.012439570450406476,-0.02282838472220817
60.0,-0.021097002983685036,-0.03810304550645132
61.0,-0.026045580046131302,-0.04597488166162877
62.0,-0.02749845176047923,-0.046298570784752996
63.0,-0.02605922873395076,-0.04012162032138856
64.0,-0.02256390336347087,-0.029426816563993
65.0,-0.017874401678804556,-0.016689617547135386
66.0,-0.012720865302690093,-0.004391329893211758
67.0,-0.00763998269647222,0.005407888993502196
68.0,-0.0029873676353395317,0.011406032623972032
69.0,0.0009559497000576582,0.013230250071949334
70.0,0.003872010449587381,0.011395864424861901
71.0,0.005412840009864493,0.007100800725253029
72.0,0.005359982248326341,0.0019123541990226593
73.0,0.0038730942407218852,-0.0025964913366264917
74.0,0.0016398233630733944,-0.00519052086612755
75.0,-0.00022796557372377457,-0.005225286765709773
76.0,-0.0005571246638481511,-0.002748380597836526
77.0,0.0013894793728455581,0.0015607272595201272
78.0,0.0054909675194046844,0.006574510188267581
79.0,0.01064195855811774,0.01099191653326061
80.0,0.015045086320215034,0.01365409109498915
81.0,0.016834370472204745,0.013811205979715132
82.0,0.01477590186091789,0.011274600957138727
83.0,0.00877851635041142,0.006446262194800048
84.0,2.2393818750818615e-05,0.00022930358929230797
85.0,-0.009382651921574923,-0.00617541551645316
86.0,-0.01708522014751816,-0.011535538280460264
87.0,-0.021220508272720286,-0.014838494756908608
88.0,-0.02092970325460007,-0.015488755124940832
89.0,-0.016525493363156257,-0.01342467145964538
90.0,-0.009273649555208858,-0.009116897371954143
91.0,-0.0009396431765206246,-0.003455151816103626
92.0,0.0066997932385019394,0.00243873015376885
93.0,0.012245491980848691,0.007442731273809775
94.0,0.014899883570644649,0.010662197979419304
95.0,0.01452139327397589,0.011595411674749334
96.0,0.011550377521515828,0.010214360447931215
97.0,0.006851096251046744,0.006952439419851483
98.0,0.001500101219749253,0.00259503359834313
99.0,-0.0034415730904165482,-0.0019005005630925943
100.0,-0.007125625034525498,-0.005607755345898916
101.0,-0.009042106622620115,-0.007814661455834282
102.0,-0.00906531222110586,-0.008156619222831486
103.0,-0.007428870955172626,-0.006675964495648514
104.0,-0.0046382250170343845,-0.0037933142543505674
105.0,-0.0013429423794238393,-0.00019976490215574373
106.0,0.0018086971156960061,0.0032996431671512244
107.0,0.004295367110940787,0.00595640593355389
108.0,0.005795445487006551,0.007231340989123623
109.0,0.006207013179994894,0.006900836726303503
110.0,0.005615277757156956,0.005090685483156474
111.0,0.004224674496596712,0.002231982082844824
112.0,0.0023004464471988355,-0.001040054721522019
113.0,0.0001362305165031289,-0.004023932972395833
114.0,-0.0019664398981775215,-0.0061049826704200755
115.0,-0.0037107612554308084,-0.006882599747812409
116.0,-0.004822457738029844,-0.006241114868377098
117.0,-0.005099865039161987,-0.004362627579625311
118.0,-0.0044841350638069,-0.0016801877948019008
119.0,-0.0031076681425004533,0.0012246961516415252
120.0,-0.0012866067862607458,0.003751081942272166
121.0,0.0005538454251956627,0.0054020980597960615
122.0,0.0020041321547045665,0.005882210158405963
123.0,0.0028029667377581485,0.005150251444180498
124.0,0.0029167449462742493,0.003416052230687527
125.0,0.002528620791332335,0.0010842371957464922
126.0,0.001946190291133801,-0.001338302529457371
127.0,0.0014630375021287931,-0.003351321247755228
128.0,0.0012315504247378635,-0.004563837289523009
129.0,0.0012021896839249948,-0.004768196661122704
130.0,0.0011526812825448096,-0.003973243247451087
131.0,0.0007978895484242844,-0.002392784384307768
132.0,-5.901228043917867e-05,-0.0003916422326107166
133.0,-0.0013993577522705678,0.0015970718919682927
134.0,-0.0029441392878202643,0.003163656002792236
135.0,-0.004218760567930024,0.004004428732808541
136.0,-0.004717214233660448,0.003978643583035099
137.0,-0.004102936908608093,0.0031299378279100163
138.0,-0.0023627249863049943,0.0016699207884122557
139.0,0.00014635905890104885,-7.387980469173352e-05
140.0,0.0027851854085433406,-0.0017313383059223634
141.0,0.004831965773995701,-0.002965547718195834
142.0,0.00571806601438386,-0.0035403579522665226
143.0,0.005212752342527574,-0.0033669932323264
144.0,0.0034946201467416513,-0.002515442504406577
145.0,0.001086739258242481,-0.001190950627067912
146.0,-0.0013247637579271616,0.00031335965879420905
147.0,-0.003120566639441464,0.0016794810416529556
148.0,-0.00393623965484973,0.0026327860960918886
149.0,-0.003744785383795462,0.002997963707828876
150.0,-0.0028162917292749124,0.0027294146106079087
